sep=\t
Module Resource Usage Distribution Estimates
Generated at: Jul 12, 2025 12:21:31

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        ADDs	        LUTs	      RAMs	 DSP/MULTs
top:top                      	 13958(791)	    2120(5)	 11843(274)	     0(0)	    20(0)	
 +rx_:uart_rx                	     33(33)	       0(0)	     64(64)	     0(0)	     0(0)	
 +tx_:uart_tx                	     30(30)	       0(0)	     52(52)	     0(0)	     0(0)	
 +dct:dct_core               	13104(2242)	    2115(0)	 11453(876)	     0(0)	    20(0)	
  +as1_1:add_sub             	   134(134)	     76(67)	   309(247)	     0(0)	     0(0)	
   +norm:mantissa_normalizer 	       0(0)	       9(9)	     62(62)	     0(0)	     0(0)	
  +as1_2:add_sub             	   130(130)	     76(67)	   297(235)	     0(0)	     0(0)	
   +norm:mantissa_normalizer 	       0(0)	       9(9)	     62(62)	     0(0)	     0(0)	
  +as1_3:add_sub             	   132(132)	     76(67)	   296(236)	     0(0)	     0(0)	
   +norm:mantissa_normalizer 	       0(0)	       9(9)	     60(60)	     0(0)	     0(0)	
  +as1_4:add_sub             	   138(138)	     76(67)	   301(241)	     0(0)	     0(0)	
   +norm:mantissa_normalizer 	       0(0)	       9(9)	     60(60)	     0(0)	     0(0)	
  +as1_5:add_sub             	   272(272)	       9(0)	   261(199)	     0(0)	     0(0)	
   +norm:mantissa_normalizer 	       0(0)	       9(9)	     62(62)	     0(0)	     0(0)	
  +as1_6:add_sub             	   270(270)	       9(0)	   253(189)	     0(0)	     0(0)	
   +norm:mantissa_normalizer 	       0(0)	       9(9)	     64(64)	     0(0)	     0(0)	
  +as1_7:add_sub             	   270(270)	       9(0)	   257(190)	     0(0)	     0(0)	
   +norm:mantissa_normalizer 	       0(0)	       9(9)	     67(67)	     0(0)	     0(0)	
  +as1_8:add_sub             	   281(281)	       9(0)	   274(204)	     0(0)	     0(0)	
   +norm:mantissa_normalizer 	       0(0)	       9(9)	     70(70)	     0(0)	     0(0)	
  +as2_1:add_sub             	   137(137)	     76(67)	   307(242)	     0(0)	     0(0)	
   +norm:mantissa_normalizer 	       0(0)	       9(9)	     65(65)	     0(0)	     0(0)	
  +as2_2:add_sub             	   274(274)	     76(67)	   372(304)	     0(0)	     0(0)	
   +norm:mantissa_normalizer 	       0(0)	       9(9)	     68(68)	     0(0)	     0(0)	
  +as2_3:add_sub             	   273(273)	     76(67)	   379(319)	     0(0)	     0(0)	
   +norm:mantissa_normalizer 	       0(0)	       9(9)	     60(60)	     0(0)	     0(0)	
  +as2_4:add_sub             	   131(131)	       9(0)	   196(130)	     0(0)	     0(0)	
   +norm:mantissa_normalizer 	       0(0)	       9(9)	     66(66)	     0(0)	     0(0)	
  +as2_5:add_sub             	   277(277)	     76(67)	   386(322)	     0(0)	     0(0)	
   +norm:mantissa_normalizer 	       0(0)	       9(9)	     64(64)	     0(0)	     0(0)	
  +as2_6:add_sub             	   272(272)	       9(0)	   274(203)	     0(0)	     0(0)	
   +norm:mantissa_normalizer 	       0(0)	       9(9)	     71(71)	     0(0)	     0(0)	
  +as2_7:add_sub             	   275(275)	     76(67)	   374(315)	     0(0)	     0(0)	
   +norm:mantissa_normalizer 	       0(0)	       9(9)	     59(59)	     0(0)	     0(0)	
  +buff1:buff_as             	   192(192)	       0(0)	       0(0)	     0(0)	     0(0)	
  +as3_1:add_sub             	   280(280)	     76(67)	   411(345)	     0(0)	     0(0)	
   +norm:mantissa_normalizer 	       0(0)	       9(9)	     66(66)	     0(0)	     0(0)	
  +as3_2:add_sub             	   131(131)	       9(0)	    158(98)	     0(0)	     0(0)	
   +norm:mantissa_normalizer 	       0(0)	       9(9)	     60(60)	     0(0)	     0(0)	
  +as3_4:add_sub             	   273(273)	     76(67)	   376(309)	     0(0)	     0(0)	
   +norm:mantissa_normalizer 	       0(0)	       9(9)	     67(67)	     0(0)	     0(0)	
  +as3_5:add_sub             	   279(279)	     76(67)	   381(316)	     0(0)	     0(0)	
   +norm:mantissa_normalizer 	       0(0)	       9(9)	     65(65)	     0(0)	     0(0)	
