sep=\t
Module Resource Usage Distribution Estimates
Generated at: Jul 15, 2025 17:52:24

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        ADDs	        LUTs	      RAMs	 DSP/MULTs
top:top                                                     	 16417(791)	    2323(5)	 14461(288)	    48(0)	    20(0)	
 +rx_:uart_rx                                               	     29(29)	       0(0)	     64(64)	     0(0)	     0(0)	
 +tx_:uart_tx                                               	     29(29)	       0(0)	     52(52)	     0(0)	     0(0)	
 +dct:dct_core                                              	12756(2121)	    2165(0)	 11713(831)	     0(0)	    20(0)	
  +as1_1:add_sub                                            	   122(122)	     76(67)	   309(234)	     0(0)	     0(0)	
   +norm:mantissa_normalizer                                	       0(0)	       9(9)	     75(75)	     0(0)	     0(0)	
  +as1_2:add_sub                                            	   122(122)	     76(67)	   315(247)	     0(0)	     0(0)	
   +norm:mantissa_normalizer                                	       0(0)	       9(9)	     68(68)	     0(0)	     0(0)	
  +as1_3:add_sub                                            	   122(122)	     76(67)	   306(234)	     0(0)	     0(0)	
   +norm:mantissa_normalizer                                	       0(0)	       9(9)	     72(72)	     0(0)	     0(0)	
  +as1_4:add_sub                                            	   126(126)	     76(67)	   315(245)	     0(0)	     0(0)	
   +norm:mantissa_normalizer                                	       0(0)	       9(9)	     70(70)	     0(0)	     0(0)	
  +as1_5:add_sub                                            	   268(268)	       9(0)	   274(195)	     0(0)	     0(0)	
   +comp_abs:FloatingCompare                                	       0(0)	       0(0)	       7(7)	     0(0)	     0(0)	
   +norm:mantissa_normalizer                                	       0(0)	       9(9)	     72(72)	     0(0)	     0(0)	
  +as1_6:add_sub                                            	   265(265)	       9(0)	   275(195)	     0(0)	     0(0)	
   +comp_abs:FloatingCompare                                	       0(0)	       0(0)	       7(7)	     0(0)	     0(0)	
   +norm:mantissa_normalizer                                	       0(0)	       9(9)	     73(73)	     0(0)	     0(0)	
  +as1_7:add_sub                                            	   265(265)	       9(0)	   279(209)	     0(0)	     0(0)	
   +comp_abs:FloatingCompare                                	       0(0)	       0(0)	       7(7)	     0(0)	     0(0)	
   +norm:mantissa_normalizer                                	       0(0)	       9(9)	     63(63)	     0(0)	     0(0)	
  +as1_8:add_sub                                            	   271(271)	       9(0)	   296(219)	     0(0)	     0(0)	
   +comp_abs:FloatingCompare                                	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	
   +norm:mantissa_normalizer                                	       0(0)	       9(9)	     68(68)	     0(0)	     0(0)	
  +as2_1:add_sub                                            	   122(122)	     76(67)	   311(248)	     0(0)	     0(0)	
   +norm:mantissa_normalizer                                	       0(0)	       9(9)	     63(63)	     0(0)	     0(0)	
  +as2_2:add_sub                                            	   266(266)	     76(67)	   399(321)	     0(0)	     0(0)	
   +comp_abs:FloatingCompare                                	       0(0)	       0(0)	       6(6)	     0(0)	     0(0)	
   +norm:mantissa_normalizer                                	       0(0)	       9(9)	     72(72)	     0(0)	     0(0)	
  +as2_3:add_sub                                            	   266(266)	     76(67)	   396(318)	     0(0)	     0(0)	
   +comp_abs:FloatingCompare                                	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	
   +norm:mantissa_normalizer                                	       0(0)	       9(9)	     77(77)	     0(0)	     0(0)	
  +as2_4:add_sub                                            	   121(121)	       9(0)	   198(131)	     0(0)	     0(0)	
   +norm:mantissa_normalizer                                	       0(0)	       9(9)	     67(67)	     0(0)	     0(0)	
  +as2_5:add_sub                                            	   270(270)	     76(67)	   389(319)	     0(0)	     0(0)	
   +comp_abs:FloatingCompare                                	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	
   +norm:mantissa_normalizer                                	       0(0)	       9(9)	     69(69)	     0(0)	     0(0)	
  +as2_6:add_sub                                            	   265(265)	       9(0)	   276(198)	     0(0)	     0(0)	
   +comp_abs:FloatingCompare                                	       0(0)	       0(0)	     11(11)	     0(0)	     0(0)	
   +norm:mantissa_normalizer                                	       0(0)	       9(9)	     67(67)	     0(0)	     0(0)	
  +as2_7:add_sub                                            	   272(272)	     76(67)	   395(322)	     0(0)	     0(0)	
   +comp_abs:FloatingCompare                                	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	
   +norm:mantissa_normalizer                                	       0(0)	       9(9)	     72(72)	     0(0)	     0(0)	
  +buff1:buff_as                                            	   192(192)	       0(0)	       0(0)	     0(0)	     0(0)	
  +as3_1:add_sub                                            	   268(268)	     76(67)	   414(342)	     0(0)	     0(0)	
   +comp_abs:FloatingCompare                                	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	
   +norm:mantissa_normalizer                                	       0(0)	       9(9)	     63(63)	     0(0)	     0(0)	
  +as3_2:add_sub                                            	   121(121)	       9(0)	   174(106)	     0(0)	     0(0)	
   +norm:mantissa_normalizer                                	       0(0)	       9(9)	     68(68)	     0(0)	     0(0)	
  +as3_4:add_sub                                            	   268(268)	     76(67)	   374(309)	     0(0)	     0(0)	
   +comp_abs:FloatingCompare                                	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	
   +norm:mantissa_normalizer                                	       0(0)	       9(9)	     64(64)	     0(0)	     0(0)	
  +as3_5:add_sub                                            	   272(272)	     76(67)	   404(324)	     0(0)	     0(0)	
   +comp_abs:FloatingCompare                                	       0(0)	       0(0)	       7(7)	     0(0)	     0(0)	
   +norm:mantissa_normalizer                                	       0(0)	       9(9)	     73(73)	     0(0)	     0(0)	
  +buff12:buff_as                                           	   192(192)	       0(0)	       0(0)	     0(0)	     0(0)	
  +buff13:buff_as                                           	   192(192)	       0(0)	       0(0)	     0(0)	     0(0)	
  +buff14:buff_as                                           	   192(192)	       0(0)	       0(0)	     0(0)	     0(0)	
  +buff15:buff_as                                           	   192(192)	       0(0)	       0(0)	     0(0)	     0(0)	
  +buff16:buff_as                                           	   192(192)	       0(0)	       0(0)	     0(0)	     0(0)	
  +m4_1:mul                                                 	   247(247)	   129(129)	   319(319)	     0(0)	     4(4)	
  +m4_2:mul                                                 	   247(247)	   129(129)	   320(320)	     0(0)	     4(4)	
